country,iso_alpha3,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018
Aruba,ABW,10,0,116576,3.96,3.3800001,3.98,4.9099998,3.54,2.99,3.54,4.7399998,4.0300002,6.4499998,4.2800002,3.6400001,4.3600001,4.1399999,3.6600001,4.2199998,4.04,3.9000001,4.7800002,3.6099999,3.0699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,10,10,28565366,16.559999,22.4,18.77,19.33,15.96,12.88,14.34,13.53,14.18,19.120001,16.780001,20.74,18.700001,23.379999,21.4,16.790001,18.790001,20.75,19.129999,17.57,20.51,.67000002,1.22,.89999998,.92000002,.58999997,.30000001,.44,.40000001,.41999999,.89999998,.68000001,1.05,.85000002,1.3099999,1.12,.68000001,.87,1.0599999,.89999998,.76999998,1.03,.67000002,1.22,.89999998,.92000002,.58999997,.30000001,.44,.40000001,.41999999,.89999998,.68000001,1.05,.85000002,1.3099999,1.12,.68000001,.87,1.0599999,.89999998,.76999998,1.03
Angola,AGO,10,0,30239499,17.040001,14.07,14.53,16.5,16.07,15.11,15.26,16.01,14.05,15.35,15.58,15.91,17.07,16.969999,17.02,17.639999,15.69,17.139999,17.07,15.03,15.11,.69,.41999999,.46000001,.63999999,.60000002,.50999999,.52999997,.58999997,.41999999,.52999997,.55000001,.57999998,.69,.68000001,.69,.75,.56,.69999999,.69,.50999999,.5,,,,,,,,,,,,,,,,,,,,,
Anguilla,AIA,10,0,5824,3.1800001,2.4000001,4.54,5.98,3.21,3.5999999,2.6700001,2.99,2.99,4.4499998,3.4300001,3.3,4.75,3.5799999,4.3000002,3.2,3.01,2.5799999,3.6600001,4.4099998,2.8199999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Åland,ALA,10,0,29453,7.3899999,8.3000002,7.3299999,6.5999999,6.6100001,6.6799998,5.0500002,6.0799999,7.9899998,5.6599998,6.04,6.5799999,6.2199998,6.3899999,5.3499999,5.9200001,6.9299998,5.0300002,4.8099999,4.4400001,5.5799999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,10,15,3054799,19.049999,19.639999,21.66,16.620001,18.790001,18.639999,15.15,18.110001,15.02,13.74,13.19,16.27,9.21,18.280001,15.77,14.47,13.44,16.280001,9.9700003,8.1599998,11.28,.88999999,.94,1.14,.64999998,.86000001,.85000002,.5,.79000002,.49000001,.37,.31999999,.61000001,.050000001,.81,.56999999,.44,.34,.62,.090000004,.02,.15000001,.40000001,.44999999,.64999998,.19,.37,.36000001,.12,.31,.12,.059999999,.050000001,.16,0,.34,.16,.079999998,.050000001,.19,0,0,0
Andorra,AND,10,25,85698,12.29,9.6800003,11.42,8.8699999,10.57,9.6800003,8.7600002,7.96,8.7700005,7.9299998,7.5300002,10.16,6.1500001,8.9899998,7.7600002,7.29,4.71,8.0200005,6.6300001,7.5700002,6.6399999,.22,0,.14,0,.059999999,0,0,0,0,0,0,.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,10,0,9591812,11.26,8.8400002,19.02,11.16,10.55,10.11,11.01,13.55,14.64,11.78,16.98,10.47,15.06,14.33,25.059999,14.09,15.31,16.99,16.51,11.81,15.83,.13,.0099999998,.88,.11,.07,.059999999,.12,.34999999,.44999999,.18000001,.68000001,.059999999,.5,.41999999,1.48,.40000001,.51999998,.69,.63999999,.18000001,.56999999,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,10,15,44823715,7.9299998,8.6999998,8.2200003,8.6099997,8.5299997,8.5299997,7.7600002,7.52,7.8000002,8.7399998,8.2799997,7.96,8.1800003,8.8800001,7.98,8.3500004,7.6100001,8.4200001,8.2299995,7.7600002,7.4099998,.059999999,.07,.07,.059999999,.07,.059999999,.050000001,.050000001,.050000001,.079999998,.050000001,.050000001,.050000001,.07,.050000001,.07,.039999999,.079999998,.059999999,.050000001,.050000001,.02,.0099999998,.02,0,.0099999998,.0099999998,.0099999998,.0099999998,0,.0099999998,0,0,.0099999998,.0099999998,0,.0099999998,0,.0099999998,.0099999998,0,0
Armenia,ARM,10,0,3045483,17.139999,12.03,12.26,10.76,12.94,7.5900002,7.9299998,11.37,8.9300003,10.56,14.62,13.18,11.8,14.29,15.38,14.37,13.99,10.62,17.02,14.28,11.37,.69999999,.22,.23999999,.16,.30000001,0,.0099999998,.19,.039999999,.14,.44999999,.34999999,.22,.41999999,.54000002,.43000001,.40000001,.14,.69,.44,.2,,,,,,,,,,,,,,,,,,,,,
