country,iso_alpha3,name_1,name_2,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018
India,IND,Andaman and Nicobar,Nicobar Islands,10,40,31806,9.0100002,8.29,9.6999998,9.1999998,7.25,10.48,12.78,11.27,14.09,12.39,9.9200001,10.83,10.14,9.4200001,9.1700001,11.76,12.26,9.8599997,14.27,10,11.9,.0099999998,0,.029999999,.02,0,.079999998,.27000001,.14,.40000001,.23,.07,.14,.079999998,.039999999,.02,.2,.22,.039999999,.41999999,.059999999,.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,IND,Andaman and Nicobar,North and Middle Andaman,10,40,105812,12.13,12.43,12.85,12.9,14.29,14.51,16.18,15.42,18.27,17.059999,15.33,17.68,17.139999,16.42,17.5,18.07,20.25,16.51,17.77,13.97,16.790001,.20999999,.23999999,.28,.28,.41999999,.44,.61000001,.52999997,.81,.69,.51999998,.75,.69999999,.63,.73000002,.79000002,1,.63999999,.75999999,.38999999,.67000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,IND,Andaman and Nicobar,South Andaman,10,40,236765,11.65,11.06,12.56,11.77,12.32,14.09,16.67,14.67,19.23,16.370001,14,16.33,16.639999,16.049999,16.35,17.049999,19.26,15.29,18.07,13.7,16.17,.16,.1,.25,.17,.23,.40000001,.64999998,.46000001,.89999998,.62,.38999999,.62,.64999998,.58999997,.62,.69,.91000003,.51999998,.79000002,.36000001,.61000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,IND,Andhra Pradesh,Anantapur,10,40,4200337,15.59,17.469999,17.950001,25.1,24.459999,20.620001,20.93,23.389999,24.690001,23.34,23.75,31.799999,27.299999,32.700001,33.630001,32.77,34.41,31.209999,33.799999,37.450001,31.469999,.55000001,.73000002,.77999997,1.48,1.42,1.04,1.0700001,1.3099999,1.4400001,1.3099999,1.35,2.1400001,1.7,2.22,2.3199999,2.23,2.3900001,2.0799999,2.3299999,2.6900001,2.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,IND,Andhra Pradesh,Chittoor,10,40,4289773,21.190001,22.01,23.66,26.530001,25.559999,23.26,25.969999,29.940001,29.389999,29.15,30.389999,33.490002,31.879999,35.73,34.939999,34.5,36.470001,33.110001,37.560001,41.330002,37.75,1.1,1.1799999,1.34,1.62,1.53,1.3,1.5700001,1.95,1.9,1.88,2,2.3,2.1400001,2.52,2.4400001,2.4000001,2.5899999,2.26,2.7,3.0699999,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,.0099999998,0,0,.0099999998,0,.050000001,.17,.029999999
India,IND,Andhra Pradesh,East Godavari,10,40,5363581,24.440001,28.209999,30.110001,30.780001,31.190001,28.790001,29.709999,32.419998,33.290001,34.880001,38.439999,38.209999,35.91,41.740002,40.18,39.52,46.130001,39.349998,43.799999,45.369999,43.720001,1.42,1.79,1.97,2.04,2.0799999,1.84,1.9299999,2.2,2.28,2.4400001,2.79,2.76,2.54,3.1099999,2.96,2.8900001,3.54,2.8800001,3.3099999,3.47,3.3,0,0,0,0,0,0,0,0,0,0,0,.0099999998,0,.19,.07,.029999999,.60000002,.02,.37,.52999997,.37
India,IND,Andhra Pradesh,Guntur,10,40,4915099,23.6,27.610001,29.639999,29.48,29.74,28.33,26.76,32.299999,31.93,33.540001,36.02,37.73,35.630001,40.5,37.119999,37.380001,43.080002,38.080002,42.650002,44.790001,42.599998,1.33,1.73,1.9299999,1.91,1.9299999,1.8,1.64,2.1900001,2.1500001,2.3099999,2.55,2.72,2.51,2.99,2.6600001,2.6800001,3.24,2.75,3.2,3.4100001,3.1900001,0,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,0,.31,0,.25999999,.47,.25999999
India,IND,Andhra Pradesh,Krishna,10,40,4676350,25.25,29.1,31.450001,30.65,31.25,29.950001,28.75,33.130001,33.470001,35.490002,38.25,38.75,37.040001,42.419998,38.860001,39.240002,45.48,39.009998,44.560001,46.919998,44.389999,1.49,1.87,2.0999999,2.02,2.0799999,1.96,1.84,2.27,2.3,2.5,2.77,2.8199999,2.6500001,3.1800001,2.8299999,2.8699999,3.48,2.8399999,3.3900001,3.6199999,3.3699999,0,0,0,0,0,0,0,0,0,0,0,.02,0,.25,0,.02,.54000002,0,.44999999,.68000001,.43000001
India,IND,Andhra Pradesh,Kurnool,10,40,4171003,17.91,21.02,21.549999,25.209999,25.389999,22.42,21.84,25.16,25.85,26.030001,26.309999,32.630001,29.700001,34.290001,34.209999,32.549999,35.580002,31.23,36.139999,37.759998,34.540001,.77999997,1.08,1.13,1.49,1.51,1.22,1.16,1.49,1.55,1.5700001,1.6,2.22,1.9299999,2.3800001,2.3699999,2.21,2.51,2.0799999,2.5599999,2.72,2.4100001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,IND,Andhra Pradesh,Nellore,10,40,3067759,20.950001,24.16,24.51,27.07,27.879999,24.5,26.110001,29.83,29.860001,29.41,30.190001,34.18,29.42,34.529999,32.689999,33.57,37.970001,33.450001,38.27,40.459999,38.23,1.0700001,1.39,1.42,1.67,1.75,1.42,1.58,1.9400001,1.95,1.9,1.98,2.3699999,1.9,2.4000001,2.22,2.3099999,2.74,2.3,2.77,2.99,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.079999998,0
